RA,Dec,Rplanet,P,S/SEarth,K,Rstar,Teff,Vmag,Imag,Jmag,Kmag,Dist,Dil,log10,SNR,Mult.
14.81,-14.49,1.993,12.55,0.6411,5.395,0.1574,3027,14.98,12.76,11.1,10.32,1.45,1,-3.525,19.72,1
15.26,48.53,2.266,7.677,4.367,3.932,0.3102,3435,14.47,12.23,10.98,10.21,3.25,1.212,-3.697,15.1,2
15.93,75.9,1.935,5.06,333.5,1.72,1.052,5888,8.682,8.023,7.558,7.231,4.05,1.001,-4.64,16.67,2
16.19,-65.03,2.294,8.952,8.658,2.874,0.4756,3710,14.65,12.69,11.57,10.76,5,1,-4.029,8.762,2
16.31,-53.08,3.469,10.84,67.59,2.696,0.8035,5598,10.88,10.14,9.597,9.193,5.35,1.003,-4.84,16.71,0
16.85,-45.03,2.75,20.96,141,1.366,1.468,6592,4.212,3.741,3.397,3.18,0.85,1,-4.431,9.519,1
17.16,-73.21,2.549,4.85,14.71,4.218,0.4201,3599,14.06,12,10.83,10.04,3.9,1.182,-3.548,13.5,1
17.72,-16.13,2.603,2.779,12.46,7.419,0.2579,3345,15.94,13.58,12.26,11.49,4.05,1.001,-4.427,12.14,3
17.75,-61.05,2.305,5.599,8.762,4.007,0.361,3499,14.85,12.68,11.45,10.67,4.1,1,-4.449,10.8,2
17.91,77.06,7.027,14.45,338.7,3.943,3.008,4977,6.667,5.724,5.026,4.471,3.35,1.001,-4.926,32.32,1
18.18,-34.03,2.67,2.18,881.9,3.452,0.9244,5875,9.92,9.255,8.774,8.429,4.95,1,-4.401,22.49,1
18.25,-30.44,1.84,1.159,1061,3.282,0.7598,5383,10.46,9.648,9.061,8.611,4.6,1,-4.536,16.61,0
18.53,-39.8,3.193,2.459,34.13,6.612,0.4065,3587,13.25,11.19,10.01,9.226,3,1.006,-3.95,35.81,2
18.75,-25.16,2.725,2.374,383,3.61,0.7962,5212,10.39,9.515,8.884,8.394,4.45,1,-4.659,21.65,0
18.79,-21.37,1.297,3.412,10.18,2.821,0.2661,3363,14.65,12.33,11.03,10.26,2.9,1,-3.67,8.187,3
