RA,Dec,Rplanet,P,S/SEarth,K,Rstar,Teff,Vmag,Imag,Jmag,Kmag,Dist,Dil,log10,SNR,Mult.
85.72,-66.27,2.747,11.17,93.32,1.994,0.991,5623,12.53,11.79,11.26,10.87,7.5,1.024,-4.401,9.769,1
85.79,-75.65,13.06,85.21,5.888,4.206,0.955,5689,12.61,11.88,11.36,10.99,7.55,1.044,-4.774,160.9,1
86.49,-65.44,3.59,8.958,4.223,5.284,0.3454,3467,16.74,14.52,13.27,12.48,5.8,1.061,-3.95,14.49,3
86.5,-0.6447,2.147,7.974,12.22,2.716,0.5036,3812,12.66,10.83,9.759,8.949,3.4,1.073,-4.39,14.1,2
86.58,-7.204,3.461,8.311,70.35,2.921,0.8132,5152,11.05,10.16,9.511,9.01,5.1,1.028,-4.806,21.18,1
86.7,-19.84,1.593,6.881,2.224,4.693,0.1834,3236,16.17,13.66,12.26,11.5,3.2,1,-4.433,7.529,1
86.78,-60.05,12.17,103.9,12.52,3.369,1.273,6501,11.53,11.02,10.65,10.41,7.75,1.153,-4.165,67.26,1
86.82,61.56,3.95,7.095,134.2,3.328,0.9087,5495,9.978,9.202,8.648,8.236,4.65,1.038,-4.855,39.92,3
86.9,9.793,3.024,6.496,344.3,2.412,1.169,6109,8.67,8.076,7.652,7.36,4.45,1.033,-4.414,17.13,0
86.9,-64.71,3.032,14.56,57.42,1.951,0.935,5636,12.45,11.71,11.18,10.79,7.3,1.047,-4.748,14.74,0
86.91,52.64,4.117,11.93,17.78,3.716,0.6393,4421,12.2,10.88,10.03,9.291,4.65,1.017,-4.559,19.29,0
87.13,5.56,3.697,2.027,20.63,19.48,0.2336,3141,15.63,13.66,12.14,11.36,3.45,31.98,-4.345,11.15,2
87.21,-68.76,10.45,2.124,4550,9.806,2.034,6266,7.705,7.156,6.753,6.485,4.8,1,-4.71,484.2,1
87.23,-55.56,1.553,6.178,143.5,1.44,0.8753,5458,11.51,10.72,10.15,9.728,6.05,1.011,-4.84,9.691,0
87.35,-61.2,2.378,5.639,12.94,3.588,0.4379,3632,16.18,14.13,12.96,12.15,6.15,1.039,-3.589,8.545,3
87.4,-13.67,2.665,7.181,7.087,4.012,0.3827,3546,14.64,12.52,11.32,10.54,4.15,1.006,-3.599,11.87,2
87.74,-57.03,3.968,42.56,5.827,2.043,0.7503,4887,14.34,13.33,12.6,12.01,7.85,1.022,-3.952,9.097,0
87.76,62.46,1.962,20.99,31.58,1.209,0.9087,5495,9.978,9.202,8.648,8.236,4.65,1.019,-4.806,8.292,3
87.81,-46.9,2.367,6.257,1604,1.463,1.558,8241,7.056,6.931,6.794,6.757,4.8,1.003,-4.667,15.62,2
87.82,83.83,2.794,41.16,0.4586,2.897,0.3009,3424,12.4,10.16,8.903,8.142,1.1,1.018,-3.695,41.28,2
87.95,-73.09,3.982,78.83,1.831,1.807,0.6722,4654,13.63,12.45,11.67,11.01,6.55,1.003,-4.828,16.43,2
87.98,-58.98,1.822,6.309,20.2,2.385,0.5403,3914,14.87,13.11,12.08,11.26,5.95,1.009,-4.32,7.633,2
88.46,-56.5,19.52,166.3,1.238,5.615,0.7962,5093,13.14,12.22,11.55,11.02,7.05,1.002,-4.731,226,0
88.52,-78.7,2.396,17.5,4.673,2.266,0.5209,3852,13.61,11.81,10.75,9.939,4.5,1.023,-4.5,23.57,1
88.62,11.21,2.768,19.89,1.546,3.204,0.3507,3485,14.03,11.85,10.62,9.847,3.2,1.17,-3.772,14.46,2
88.94,-59.49,2.01,7.013,7.011,3.216,0.3764,3508,15.85,13.68,12.46,11.67,5.2,1.085,-4.433,9.462,2
89.03,-67.33,3.886,3.164,235.4,4.984,0.7723,5048,13.46,12.49,11.84,11.29,7.25,1.001,-4.64,21.56,1
89.08,-73.31,3.235,51.43,108.8,0.9226,1.751,8110,9.517,9.365,9.214,9.168,7.45,1.01,-4.236,8.78,0
89.15,-62.18,3.567,40.53,22.4,1.597,0.9885,6109,12.03,11.42,10.99,10.68,7.4,1.044,-4.442,14.11,1
89.17,-39.02,3.618,6.697,78.42,3.357,0.7753,5012,11.09,10.14,9.447,8.902,4.85,1.008,-4.731,31.38,0
89.2,-60.85,3.754,15.04,44.31,2.405,0.9061,5395,13.36,12.53,11.95,11.52,7.9,1.002,-4.221,14.48,1
89.25,-33.31,2.463,20.63,0.3182,10.69,0.1552,2564,17.91,14.71,12.33,11.51,2.1,1.042,-4.104,8.699,2
89.27,-62.82,1.571,16.96,1.552,2.117,0.3149,3440,14.78,12.54,11.29,10.52,3.6,1,-3.501,14.96,1
89.3,36.92,2.199,3.728,25.1,3.758,0.4536,3686,13.98,12.01,10.89,10.08,4.2,1.647,-4.364,8.031,3
89.47,-69.54,2.614,5.791,5.926,5.2,0.299,3392,16.7,14.39,13.1,12.32,5.25,1.012,-2.472,10.09,2
89.68,10.88,2.832,6.083,22.12,3.634,0.5406,3955,12.5,10.8,9.792,8.98,3.7,1.009,-3.622,16.78,2
90.01,-57.38,1.719,9.009,6.802,2.292,0.4316,3633,14.82,12.79,11.64,10.84,4.8,1.006,-3.697,9.064,2
90.03,-75.53,3.678,9.623,228.9,2.502,1.072,6592,12.15,11.66,11.3,11.07,8.05,1.003,-4.482,21.35,0
90.13,-61.05,2.489,65.73,0.33,1.897,0.3621,3496,15.25,13.08,11.85,11.06,4.5,1.028,-3.468,10.53,2
90.38,0.6412,2.444,7.204,10.11,3.368,0.4494,3665,14.05,12.06,10.92,10.12,4.2,1.179,-3.369,7.851,2
90.39,32.6,2.697,3.672,529.1,2.73,1.05,5875,9.707,9.047,8.575,8.241,5.05,1.046,-4.716,18.68,1
90.74,-63.47,1.313,1.893,30.48,2.96,0.3248,3452,14.88,12.66,11.41,10.64,3.8,1.023,-4.32,19.24,2
90.77,-54.21,2.615,94.05,47.94,0.6463,1.953,7568,8.918,8.663,8.452,8.357,6.8,1.002,-4.729,7.356,0
90.81,45.82,2.574,8.173,24.15,2.847,0.601,4292,9.293,7.898,7.009,6.24,1.4,1.012,-4.178,33.42,2
90.88,-43.2,2.405,9.134,350.5,1.585,1.344,6561,9.188,8.702,8.349,8.126,5.6,1.017,-4.237,7.824,1
90.9,-61.27,3.018,39.52,270.6,0.8483,1.932,9120,9.846,9.842,9.772,9.781,8.4,1.039,-4.746,9.249,1
90.91,9.11,1.587,4.517,186,1.732,0.8222,5333,10.26,9.44,8.847,8.392,4.55,1.05,-4.836,7.38,0
91.18,-58.53,3.571,16.96,109.5,2.089,1.248,6081,11.69,11.08,10.64,10.33,7.55,1.062,-4.667,13.14,1
91.33,-0.06148,2.575,7.139,5.4,4.471,0.3307,3436,15.19,12.95,11.68,10.91,4.1,1.043,-4.008,10.37,3
91.34,-21.26,2.208,14.58,1.376,3.707,0.257,3348,15.17,12.83,11.52,10.75,3.3,1.142,-3.923,12.35,3
91.48,-26.33,1.824,3.154,9.583,5.449,0.2416,3323,15.29,12.91,11.58,10.81,3.2,1.001,-4.008,14.26,3
91.64,-25.1,3.205,18.26,18.5,2.183,0.7565,4920,11.69,10.71,9.994,9.424,5.3,1.004,-3.873,10.92,0
91.69,-55.22,1.968,2.066,1896,2.554,1.133,6368,11.95,11.41,11.02,10.75,7.8,1.054,-4.066,12.03,1
91.83,-49.85,2.354,7.842,5.797,3.647,0.3658,3509,14.14,11.98,10.76,9.985,3.45,1.008,-3.959,28.78,1
91.92,-68.99,2.725,12.12,18.64,2.42,0.6496,4506,14.04,12.77,11.94,11.22,6.65,1.014,-4.871,14.28,0
92.1,-66.45,1.994,5.721,12.02,3.135,0.4247,3608,14.27,12.22,11.05,10.25,4.15,1.001,-3.661,14.21,1
92.31,15.27,2.034,0.694,357.1,5.615,0.5264,3878,14.03,12.25,11.21,10.39,5,1.096,-4.427,11.23,3
92.42,-22.63,2.134,3.439,9.441,5.811,0.257,3348,15.17,12.83,11.52,10.75,3.3,1.141,-4.433,18.01,3
92.63,-72.15,1.862,6.443,51.63,2.054,0.6722,4654,13.63,12.45,11.67,11.01,6.55,1.006,-4.757,10.14,2
92.67,-71,2.567,50.75,0.3423,2.432,0.3058,3406,16,13.72,12.43,11.66,4.65,1.347,-3.779,10.62,2
92.72,-74.87,2.112,7.296,7.724,3.11,0.3986,3598,14.42,12.36,11.19,10.4,4.15,1.189,-3.772,27.11,2
92.8,-58.98,2.587,21.52,17.48,1.696,0.7444,5164,12.95,12.06,11.41,10.91,6.8,1.011,-4.871,10.46,1
92.82,-74.12,1.603,17.06,2.82,1.765,0.4268,3612,14.6,12.55,11.38,10.59,4.5,1.004,-4.311,9.231,2
92.85,7.93,3.578,19.54,59.75,2.019,1.003,6095,9.982,9.383,8.951,8.652,5.4,1.061,-4.15,13.67,1
92.92,-0.1628,3.059,3.547,60.71,4.461,0.5901,4117,13.49,11.93,10.97,10.17,5.2,1.073,-3.67,12.44,0
93.2,-72.96,1.228,7.004,8.319,1.311,0.4064,3570,14.61,12.52,11.33,10.54,4.3,1.013,-4.578,8.002,2
93.22,-79.38,1.86,8.234,3.227,3.667,0.2729,3358,16.33,13.99,12.68,11.91,4.6,1.495,-3.779,10.96,1
93.27,-61.67,2.162,13.06,98.22,1.494,1.013,5957,12,11.36,10.89,10.56,7.3,1,-4.523,9.604,0
93.36,-58.62,9.588,5.996,59.02,9.478,0.6734,4715,12.24,11.06,10.31,9.659,5.2,1.001,-4.831,537.7,1
93.42,-59.55,2.377,13.39,27.39,1.924,0.7238,4944,13.89,12.86,12.18,11.6,7.4,1.021,-3.79,8.329,1
93.55,44.1,2.219,4.802,49.08,2.96,0.601,4292,9.293,7.898,7.009,6.24,1.4,1.004,-3.664,12.42,2
93.58,-55.65,2.725,9.301,59.87,2.379,0.7514,5272,13.61,12.76,12.14,11.66,7.6,1.003,-4.492,10.26,0
93.66,-48.68,3.788,15.37,41.23,2.472,0.8553,5458,11.06,10.27,9.707,9.28,5.55,1.004,-4.743,30.32,1
93.71,-57.81,2.401,7.974,7.225,3.391,0.4155,3573,16.13,14.02,12.83,12.03,5.85,1.613,-3.487,9.461,2
93.74,49.52,3.127,18.08,37.17,1.994,0.8411,5636,10.83,10.1,9.573,9.183,5.45,1.002,-4.68,11.83,1
93.9,-60.27,0.7811,0.7051,168.1,0.5667,0.3963,3552,14.82,12.7,11.5,10.71,4.4,1.058,-4.226,7.45,3
93.9,-69.82,2.278,3.198,410,2.748,0.8204,5781,12.88,12.19,11.68,11.31,7.55,1.001,-4.422,12.45,1
94.03,-62.81,1.708,6.536,114.7,1.724,0.758,5495,10.99,10.23,9.668,9.244,5.25,1.015,-4.767,10.35,1
94.07,68.71,3.975,21.15,62.99,2.12,1.103,6081,8.33,7.725,7.292,6.993,3.95,1.001,-4.233,21.92,0
94.22,-58.58,3.972,8.022,84.32,3.384,0.7934,5383,11.71,10.9,10.31,9.864,5.95,1.005,-4.594,43.22,1
94.25,-55.74,3.699,11.2,66.58,2.883,0.7929,5649,12.81,12.08,11.56,11.16,7.3,1.004,-4.778,27.38,1
94.31,-56.3,2.601,11.08,210.4,1.886,1.235,6166,11.34,10.76,10.34,10.04,7.25,1.004,-4.682,12.47,2
94.31,-48.54,2.932,37.55,1.024,2.334,0.4347,3632,15.27,13.23,12.07,11.27,5.25,1.028,-4.32,8.684,2
94.54,-50.05,1.683,1.622,28.35,5.572,0.2756,3371,15.82,13.5,12.2,11.43,4.15,1.402,-4.39,12.8,3
94.6,-54.76,1.501,0.57,72.72,9.231,0.2055,3264,16.39,13.92,12.54,11.77,3.75,1.559,-3.864,30.49,4
94.6,-68.02,3.567,8.64,61.68,3.292,0.7723,5048,13.46,12.49,11.84,11.29,7.25,1.008,-4.644,23.08,1
94.76,-71.7,2.834,3.163,13.85,6.725,0.3058,3406,16,13.72,12.43,11.66,4.65,1.099,-4.493,49.26,2
94.77,-60.16,0.8335,0.9716,103.5,0.6456,0.3863,3539,14.95,12.82,11.61,10.83,4.45,1.001,-4.574,7.592,4
94.79,-61.41,2.322,18.95,6.977,1.924,0.5983,4191,13.93,12.42,11.49,10.7,5.8,1,-3.677,12.36,1
94.87,-51.4,1.501,1.908,24.58,4.694,0.2864,3379,15.81,13.5,12.2,11.43,4.25,1.013,-4.387,12.3,3
94.88,-73.18,1.565,6.099,163.9,1.435,0.9006,5559,11.9,11.14,10.6,10.19,6.6,1.005,-4.7,8.066,0
94.99,-1.882,2.687,5.642,21,3.671,0.5145,3870,12.13,10.36,9.318,8.508,3.05,1.081,-3.979,26.65,0
95.07,-72.28,2.181,6.175,5.677,4.218,0.3058,3406,16,13.72,12.43,11.66,4.65,1.027,-4.345,23.44,2
95.21,-47.56,2.967,36.42,34.78,1.432,1.163,6026,10.83,10.21,9.76,9.446,6.5,1.025,-4.734,8.931,0
95.38,-62.3,1.708,7.095,311.8,1.327,1.121,6324,10.67,10.12,9.729,9.466,6.5,1.029,-4.29,9.453,0
95.39,-30.83,2.67,5.89,20.86,3.537,0.5251,3896,13.04,11.29,10.25,9.438,4.05,1.002,-4.477,25.09,2
95.44,-58.96,4.217,55.97,4.07,2.036,0.7238,4944,13.89,12.86,12.18,11.6,7.4,2.724,-4.669,11.7,1
95.47,-65.46,1.981,11.23,3.412,2.765,0.3604,3487,16.04,13.85,12.61,11.83,5.25,1.017,-4.311,8.102,2
95.67,73.47,1.866,11.41,31.27,1.547,0.7482,4819,10.82,9.775,9.03,8.429,4.25,1.084,-4.851,8.157,0
95.71,-72.28,2.027,48.27,55.05,0.7486,1.32,7328,9.149,8.832,8.581,8.451,6,1.014,-4.703,10.75,0
95.75,-62.51,1.827,18.55,1.782,2.169,0.3621,3496,15.25,13.08,11.85,11.06,4.5,1.046,-3.616,10.77,2
95.92,-17.32,2.401,6.877,3.169,5.675,0.2315,3301,16.2,13.79,12.44,11.67,3.95,5.034,-3.67,10.17,2
95.98,-17.06,2.278,15.34,1.64,3.299,0.2979,3412,14.01,11.75,10.48,9.718,2.65,1.078,-4.364,29.09,1
95.99,-54.61,11.75,33.87,12.66,5.519,0.862,5248,11.83,10.96,10.34,9.863,6.1,1,-4.688,205.3,0
96.41,-59.41,2.807,45.47,0.471,2.506,0.3378,3461,15.13,12.92,11.67,10.89,4.15,1.134,-3.616,26.94,2
96.48,-63.38,2.588,29.49,35,1.408,0.9848,6053,10.64,10.02,9.573,9.258,5.95,1.037,-4.163,15.03,1
96.66,-26.52,2.72,6.536,1.261,9.644,0.1435,2965,17.14,14.79,13.06,12.28,3.15,2.276,-3.85,15.62,1
96.71,-60.28,2.25,14.46,2.994,2.702,0.3963,3552,14.82,12.7,11.5,10.71,4.4,1.911,-4.477,16.89,3
96.72,-64.05,1.907,34.12,59.24,0.8913,1.428,6209,10.04,9.464,9.048,8.766,6.3,1,-4.558,7.593,1
96.75,68.33,2.312,2.543,33.2,4.8,0.4085,3604,12.64,10.6,9.435,8.649,2.45,1.004,-4.464,39.36,3
96.82,-29.61,2.959,2.31,16.43,8.803,0.2616,3356,14.92,12.58,11.27,10.51,3.1,1.011,-4.219,46.85,3
96.91,67.99,2.201,9.771,5.518,2.927,0.4085,3604,12.64,10.6,9.435,8.649,2.45,1.041,-3.599,13.7,3
96.92,-38.1,2.607,7.603,74.85,2.34,0.7821,5164,11.58,10.69,10.05,9.546,5.55,1.035,-4.748,14.69,0
97.1,-69.71,19.21,4.255,132.3,18.76,0.7692,4909,13.59,12.59,11.87,11.29,7.2,1.056,-3.61,656.4,0
97.1,-60.57,2.72,11.37,40.99,2.232,0.7426,5152,12.26,11.37,10.72,10.21,6.1,1.001,-4.809,26.2,0
97.17,45.09,2.457,2.326,58.7,4.71,0.4936,3767,13.61,11.73,10.64,9.827,4.2,1.002,-3.836,17.33,3
97.38,-59.02,1.412,2.55,14,4.302,0.2588,3339,16.81,14.44,13.11,12.34,4.9,1.006,-3.772,10.16,3
97.51,53.88,2.356,8.952,32.75,2.311,0.6645,4650,11.9,10.72,9.947,9.278,4.8,1.025,-4.682,9.7,1
97.55,-57.77,3.161,62.8,6.444,1.337,0.8427,5495,12.52,11.74,11.18,10.76,7,1.006,-4.742,13.7,2
97.63,-60.45,2.254,22.27,1.683,2.343,0.3963,3552,14.82,12.7,11.5,10.71,4.4,1,-3.95,18.62,3
97.71,-60.75,3.675,46.03,2.137,2.193,0.5983,4191,13.93,12.42,11.49,10.7,5.8,1.044,-4.5,22.98,1
97.81,-76.13,2.902,48.01,0.5836,2.317,0.3915,3533,15.91,13.76,12.55,11.76,5.4,1.001,-3.677,11.98,2
97.82,-61.42,2.298,2.214,248.6,3.45,0.6934,4792,12.8,11.67,10.94,10.32,5.95,1.034,-4.839,29.27,1
97.85,-78.8,3.378,2.097,26.63,8.678,0.3256,3428,15.75,13.5,12.23,11.45,4.6,1,-3.67,67.81,2
97.86,-59.11,3.74,24.61,38.23,2.033,0.9906,5861,12.32,11.65,11.17,10.83,7.5,1.112,-4.774,17.62,0
97.99,-68.75,1.825,42.19,1.872,1.25,0.5628,4000,13.48,11.82,10.82,10.01,4.85,1.007,-3.959,9.691,0
98.08,-56.62,2.774,22.14,25.88,1.677,0.8427,5495,12.52,11.74,11.18,10.76,7,1.008,-4.628,14.96,2
98.11,-47.68,9.706,4.146,153.2,9.939,0.7873,5000,12.52,11.56,10.87,10.32,6.3,1.091,-4.871,149.2,1
98.36,2.748,3.879,15.43,19.57,2.937,0.6956,4843,12.03,10.95,10.24,9.632,5.3,1.238,-4.239,19.1,1
98.43,-78.89,2.166,19.96,4.81,1.902,0.5558,3960,13.8,12.09,11.08,10.26,5.05,1.022,-3.852,10.65,3
98.48,-72.94,1.792,28.36,0.6088,2.3,0.2725,3361,16.64,14.3,12.99,12.21,4.9,1.216,-3.687,7.415,2
98.86,-59.04,2.117,2.875,10.83,6.47,0.2417,3319,15.85,13.46,12.13,11.36,3.75,1.007,-4.219,44.89,3
98.96,-15.55,1.613,1.097,56.12,5.592,0.3041,3416,15.57,13.31,12.04,11.27,4.25,1.365,-3.95,7.377,3
99.01,-80.76,2.312,7.959,14.08,2.812,0.5307,3879,13.77,11.99,10.94,10.12,4.75,1.002,-3.548,11.28,2
99.03,-65.67,2.758,6.768,1147,1.939,2.555,5821,9.594,8.922,8.431,8.081,6.8,1.002,-4.688,12.04,1
99.05,-59.34,1.571,28.56,0.9918,1.662,0.3594,3484,15.15,12.96,11.72,10.94,4.35,1.062,-4.541,9.423,1
99.14,-59.88,4.264,4.045,1232,3.259,1.452,6730,10.97,10.52,10.21,10.02,7.7,1.017,-4.165,41.02,0
99.26,-57.01,3.676,5.669,195.5,3.283,0.9592,5483,12.29,11.49,10.93,10.52,7.05,1.001,-4.801,35.82,0
99.29,-61.61,1.972,2.9,341.7,2.656,0.7434,5521,9.165,8.408,7.855,7.435,3.4,1,-4.591,61.01,0
99.32,-59.67,2.36,22.06,27.9,1.399,0.891,5483,12.2,11.42,10.85,10.44,6.8,1.004,-4.64,10.55,2
99.37,-68.64,3.311,21.22,1.326,3.817,0.3425,3442,16.78,14.53,13.26,12.48,5.75,1.046,-4.409,14.13,3
99.4,-65.59,1.772,4.735,179.2,1.831,0.8686,5260,11.49,10.63,10.01,9.542,5.8,1.07,-4.262,10.26,1
99.52,-61.47,3.049,3.177,1274,2.923,1.201,6668,11.68,11.22,10.87,10.66,7.9,1,-4.761,20.19,1
99.66,-80.3,3.003,8.583,14.82,3.414,0.5558,3960,13.8,12.09,11.08,10.26,5.05,1.009,-4.526,21.43,3
99.92,-57.31,2.131,8.446,5.033,3.312,0.3594,3484,15.15,12.96,11.72,10.94,4.35,1.224,-4.492,23.41,1
100.1,65.67,1.099,2.816,7.569,1.895,0.2036,3234,15.5,13.04,11.67,10.92,3.15,1,-3.61,9.449,2
100.1,-71.03,2.718,35.15,58.56,1.338,1.413,6152,11.03,10.44,10,9.706,7.2,1.003,-4.35,9.373,1
100.3,-60.95,1.944,2.619,245,2.591,0.7712,4875,12.88,11.86,11.13,10.55,6.45,1,-4.729,10.14,0
100.4,-61.17,1.18,3.186,13.89,1.823,0.3034,3425,13.28,11.04,9.783,9.02,2,1.003,-4.23,41.46,2
100.8,73.76,2.239,6.607,122.4,2.076,0.845,5395,11.65,10.85,10.26,9.821,6.05,1.283,-4.728,8.331,1
101.1,-59.73,2.361,26.4,16,1.347,0.8443,5176,11.95,11.05,10.41,9.923,6.1,1,-4.71,14,0
101.5,-77.67,1.063,1.969,27.78,1.43,0.3132,3437,13.23,11.01,9.753,8.988,2.05,1.008,-3.772,32.4,3
101.6,-55.22,3.428,20.88,14.98,2.201,0.7619,4875,12.25,11.23,10.51,9.923,5.8,1.011,-4.977,15.44,0
101.6,-57.69,3.324,34.94,13.74,1.766,0.8521,5383,11.45,10.63,10.05,9.605,5.85,1.011,-4.659,29.88,1
101.6,-77.61,1.045,3.569,256.5,0.5981,0.7688,5433,10.87,10.09,9.513,9.075,5.1,1.004,-4.712,10.35,0
101.7,-67.78,11.74,169,0.3501,4.195,0.5844,4159,15.5,13.96,13.02,12.21,7.25,1.002,-4.39,64.82,3
101.7,-55.36,3.478,8.365,350.6,2.371,1.356,6295,8.859,8.308,7.914,7.653,5.1,1.01,-4.669,31.17,1
101.9,-72.33,2.748,4.719,2226,2.005,2.187,6730,8.707,8.272,7.944,7.745,6.3,1.004,-4.156,12.62,1
102.1,-63.34,2.113,14.68,3.29,6.962,0.3602,2979,16.68,14.38,12.66,11.88,4.75,1.005,-3.864,7.585,2
102.3,-72.04,3.004,17.64,49.14,1.792,0.9938,5623,12.48,11.72,11.19,10.82,7.45,1.016,-4.815,13.33,1
102.4,30.3,2.31,13.76,0.8043,5.564,0.1711,3228,15.54,13.02,11.62,10.86,2.4,1.721,-4.457,12.53,3
102.8,45.65,1.863,11.05,1.077,4.877,0.1721,3222,16.61,14.07,12.66,11.89,3.45,1.038,-4.23,7.488,2
103.1,-53.75,2.566,35.76,0.2378,4.31,0.1794,3225,17.62,15.08,13.67,12.9,4.55,2.929,-4.493,7.553,2
103.1,-58.77,1.927,3.664,1480,1.752,1.328,6966,10.87,10.47,10.17,9.991,7.5,1.007,-4.762,8.465,1
103.6,-54.72,9.395,21.84,18.64,5.299,0.8239,5082,12.56,11.63,10.96,10.45,6.55,1.005,-3.701,62.49,1
103.6,-62.75,2.915,38.03,0.9249,6.837,0.3602,2979,16.68,14.38,12.66,11.88,4.75,1.07,-4.457,9.847,2
103.6,30.95,2.615,8.253,458.1,1.794,1.227,7079,9.305,8.935,8.656,8.496,5.85,1.018,-4.772,10.32,1
103.7,-43.17,2.87,0.8284,3931,5.031,0.9621,6081,10.55,9.949,9.508,9.2,5.85,1.011,-4.858,39.65,0
103.7,-18.65,1.878,5.769,9.94,3.078,0.3903,3564,14.19,12.1,10.91,10.13,3.8,1.015,-4.23,9.557,1
103.7,-22.42,1.575,2.332,681.1,1.92,0.9666,5610,9.826,9.082,8.558,8.176,4.75,1.012,-4.536,8.258,2
103.8,65.45,3.743,28.43,73.63,1.664,1.436,6252,8.112,7.55,7.151,6.886,4.45,1,-4.035,8.09,0
104,-73.14,1.57,1.061,62.89,5.466,0.3168,3410,16.67,14.39,13.1,12.33,5.4,1.04,-3.347,9.137,4
104,-72.07,3.362,6.5,11.32,4.682,0.4495,3644,16.03,14,12.84,12.03,6.1,1,-3.501,21.6,2
104.3,6.862,2.387,4.702,9.334,4.809,0.329,3433,15.2,12.96,11.7,10.93,4.1,2.684,-4.321,9.276,2
104.4,-58.2,7.851,5.046,632.1,5.824,1.318,6295,10.67,10.11,9.717,9.461,6.85,1.041,-4.163,174.1,1
104.5,-62.09,3.563,8.549,37.45,3.372,0.6844,4692,14.34,13.17,12.41,11.75,7.35,1.099,-4.882,19.21,1
104.5,-76.11,3.526,173.8,1.175,1.078,0.809,5117,12.87,11.95,11.29,10.78,6.85,1.027,-4.8,11.67,0
104.5,-73.18,3.278,29.33,24.95,1.64,0.9938,5623,12.48,11.72,11.19,10.82,7.45,1.008,-3.621,8.56,1
104.6,54.1,2.978,7.265,82.2,2.61,0.8256,5105,11.53,10.6,9.94,9.438,5.55,1.002,-3.701,7.924,0
104.8,46.63,2.086,10.3,7.885,2.44,0.488,3776,13.47,11.59,10.51,9.696,4.05,1.105,-4.364,8.965,2
104.8,65.65,2.194,6.631,547.6,1.612,1.294,6730,8.964,8.515,8.186,7.984,5.4,1.001,-4.515,11.11,1
104.9,-64.83,1.95,6.448,4.208,4.221,0.2637,3352,15.92,13.57,12.26,11.49,4.1,1,-3.599,24.78,1
105,50.98,1.725,1.239,554.9,3.228,0.6878,4839,11.26,10.18,9.468,8.857,4.5,1.019,-4.831,14.24,0
105,79.94,1.553,1.651,92.87,3.393,0.4933,3784,13.68,11.81,10.73,9.914,4.3,1,-4.427,10.4,3
105.1,-52.16,1.515,2.253,585.9,1.997,0.8559,5585,11.53,10.79,10.25,9.853,6.15,1.048,-4.714,7.727,0
105.4,-56,1.661,6.102,8.798,2.761,0.383,3534,14.83,12.7,11.49,10.7,4.3,1.006,-4.23,9.703,2
105.4,32.46,1.285,4.166,15.59,1.894,0.3874,3569,11.78,9.712,8.537,7.76,1.4,1.009,-4.547,16.16,2
105.5,-66.47,1.091,2.457,13.74,1.775,0.247,3326,16.24,13.86,12.53,11.76,4.2,1.181,-3.979,8.688,3
105.5,-50.66,2.841,23.5,19.57,1.669,0.8547,5200,11.54,10.65,10.02,9.539,5.75,1.023,-4.716,14.4,1
105.5,-33.51,3.05,13.16,40.79,2.457,0.791,5185,11.42,10.52,9.909,9.402,5.45,1.042,-4.746,12.74,0
105.7,-42.83,2.841,18.28,9.614,2.261,0.6277,4422,11.94,10.62,9.769,9.031,4.35,1.08,-4.384,16.63,0
105.8,-76.23,2.811,12.21,34.09,2.387,0.7485,4943,13.82,12.79,12.11,11.53,7.4,1.234,-3.87,11.88,1
105.9,-72.28,1.713,8.505,3.786,2.94,0.3112,3421,15.92,13.66,12.38,11.61,4.65,1.434,-4.433,11.49,2
106,-62.34,3.195,27.5,9.33,1.972,0.7152,4842,13.49,12.47,11.73,11.12,6.85,1.014,-4.85,8.764,0
106,-33.52,1.465,0.5574,75.55,9.96,0.2065,3266,16.22,13.75,12.38,11.61,3.6,1.145,-4.35,12.06,2
106.2,-65.17,3.586,37.12,11.79,1.835,0.8269,5383,12.22,11.41,10.82,10.37,6.55,1.003,-4.147,19.75,1
106.2,-75.95,4.68,12.85,22.72,3.78,0.6844,4748,12.8,11.67,10.93,10.29,5.9,1.001,-4.798,54.51,1
106.6,15.21,1.589,2.801,16.48,4.07,0.3046,3427,13.47,11.23,9.972,9.208,2.2,1.004,-3.487,15.53,3
106.8,-61.05,2.846,22.63,2.312,2.591,0.4598,3690,15.22,13.24,12.1,11.3,5.45,1.013,-4.439,8.583,2
106.9,-73.52,2.548,13.06,574.4,1.343,1.559,7962,9.785,9.599,9.421,9.355,7.35,1.061,-4.112,8.797,1
107,-63.87,3.205,25.88,416.2,1.154,2.286,7889,8.602,8.42,8.243,8.178,7,1.003,-4.159,7.891,0
107.2,-63,2.875,61.61,3.645,1.305,0.7725,4875,13.48,12.45,11.72,11.15,7.05,1.041,-4.682,8.707,0
107.2,-80.16,1.835,7.573,1.211,6.035,0.1529,3027,17.06,14.83,13.16,12.39,3.45,1.139,-4.32,8.88,2
107.4,-0.4333,2.81,4.082,30.19,4.275,0.5059,3833,13.61,11.79,10.73,9.918,4.4,2.494,-3.273,7.619,2
107.5,-76.89,4.39,18.81,24.51,2.748,0.8392,5129,12.37,11.45,10.79,10.3,6.45,1.033,-4.8,46,0
107.5,-59.32,7.643,101.2,21.76,2.081,1.852,6223,10.21,9.641,9.227,8.948,7.05,1.005,-4.734,52.64,0
107.6,-58.58,1.833,16.38,1.165,2.967,0.2575,3344,15.8,13.44,12.12,11.36,3.9,1.364,-4.226,13.23,1
